111	1700943582wly(1700943582)	北京大学	3	8:16:31	(-1)	1:24:31	03:09:07(-3)		2:42:53	(-1)	(-1)					
112	1700943904		3	8:19:42	00:37:21(-1)	3:48:25	02:33:56(-3)									
113	vacantblade		3	9:01:28	00:52:19(-5)	01:36:15(-3)	3:52:54									
114	谯且埛1700944273		3	9:27:37	03:23:59(-4)	02:31:25(-1)	(-2)		1:52:13							
115	1700944619		3	9:28:41	01:06:33(-4)		02:20:28(-3)		3:41:40							
116	1700944175		3	9:43:32	01:16:12(-6)	03:37:27(-1)			01:49:53(-2)							
117	1700943853		3	10:30:02	00:30:22(-4)	1:39:29	03:20:11(-11)									
118	1700944270(哕瓳兘)		3	11:36:39	01:14:38(-2)	02:20:06(-2)	(-1)		02:21:55(-13)							
119	1700942826		2	1:26:51	00:23:50(-1)	0:43:01	(-1)									
120	1700945269		2	1:38:01	00:48:28(-1)	(-4)			0:29:33							
121	1700945270(zeezhang)		2	1:43:40	00:17:14(-1)			1:06:26								
122	弭诞旆		2	2:18:18	01:04:55(-2)	0:33:23										
123	1700943383		2	2:25:51	00:29:04(-3)	0:56:47	(-4)		(-4)							
124	1700944244		2	2:50:40	00:18:30(-2)	1:52:10										
125	1700944323		2	3:21:31	00:27:10(-2)	2:14:21										
126	trallin		2	3:51:15	00:36:07(-3)	2:15:08	(-3)									
127	(maohulu)		2	4:10:33	1:19:43				01:10:50(-5)							
128	1700944325		2	4:16:33	00:33:17(-1)	3:23:16										
129	1700943191		2	4:25:06	00:39:49(-4)	02:05:17(-1)	(-2)									
130	1700944419		2	4:35:54	00:27:52(-6)	2:08:02	(-2)									
131	1700944292		2	5:25:42	01:22:39(-4)	2:43:03	(-1)		(-5)							
132	1700944900(Archi)	北京大学	2	5:33:03	00:31:16(-2)	03:01:47(-4)	(-1)									
133	1700944255	为圊冩丧大学	2	6:11:13	01:07:12(-6)	(-4)	(-2)	(-1)	02:44:01(-1)							
134	1700943864		2	6:11:51	02:19:03(-4)	(-1)			01:32:48(-3)		(-1)					
135	1700943231		2	6:16:25	00:47:09(-7)	02:29:16(-2)										
136	(MMMMAZE)		2	6:34:15	3:16:56				3:17:19							
137	攼夶咊		2	6:36:55	01:25:37(-5)		02:31:18(-3)									
138	1700942879		2	7:14:02	01:17:38(-5)		02:56:24(-4)									
139	1700944279孡凮杽		2	8:52:25	02:36:49(-6)				03:55:36(-1)							
140	1700944251		1	0:36:25	00:16:25(-1)											
141	1700944249	为圊冩丧大学	1	0:40:18	00:20:18(-1)											
142	fairly		1	0:48:29	00:28:29(-1)				(-1)							
143	1700942943		1	0:58:17								0:58:17				
144	key乃		1	0:59:14	00:19:14(-2)				(-18)							
145	1700942567		1	1:05:35	00:45:35(-1)											
146	1700940880		1	1:27:55	00:47:55(-2)											
147	1700941839		1	1:37:06	00:57:06(-2)	(-1)	(-8)									
148	1700944364	北京大学	1	1:42:49	00:42:49(-3)	(-2)										
149	1700943176		1	1:56:24	01:16:24(-2)		(-10)									
150	17000942967		1	2:08:17	00:48:17(-4)											
151	1700944245		1	2:09:58	00:29:58(-5)	(-1)	(-1)									
152	1700945621		1	2:15:20	(-7)	2:15:20	(-3)		(-1)							
153	17009244248		1	2:17:38	00:57:38(-4)											
154	1700944253	为圊冩丧大学	1	2:27:35	(-5)	01:47:35(-2)										
155	Algorithm_Boy		1	2:29:21	01:29:21(-3)		(-3)									
156	1700944612	北京大学	1	2:34:24	01:34:24(-3)											
157	1700943921		1	2:37:58	(-2)		2:37:58									
158	1700944897		1	2:46:48	01:26:48(-4)											
159	1700940416		1	3:02:02	01:22:02(-5)	(-1)										
160	1700940085		1	3:10:39	01:10:39(-6)											
161	1700944289		1	3:19:18	01:39:18(-5)	(-1)										
162	1700945319		1	3:29:55		3:29:55										
163	1700944256	为圊冩丧大学	1	3:59:07	00:59:07(-9)	(-3)		(-1)								
164	1700943230		1	4:02:12	03:42:12(-1)											
165	1700941205	北京大学	1	4:26:25	02:26:25(-6)	(-3)			(-2)							
166	xwasp1995	北京大学	1	4:31:45	01:11:45(-10)	(-2)										
167	1700944254		1	5:08:27	00:48:27(-13)											
168	1700943702		1	5:53:09	02:33:09(-10)	(-4)			(-1)				(-1)			
169	1700942065		1	9:45:04	02:25:04(-22)											
170	1700945624		0	0:00:00	(-3)	(-1)										
171	1700945626		0	0:00:00	(-4)				(-2)							
172	htr		0	0:00:00	(-5)	(-2)										
173	1700944252		0	0:00:00	(-3)											
174	ebbyzhang		0	0:00:00							(-1)					
175	1700944262	北京大学	0	0:00:00	(-3)											
176	vay		0	0:00:00					(-1)							
177	1700942095	北京大学	0	0:00:00	(-1)	(-1)	(-1)									
178	1700943405		0	0:00:00	(-16)	(-1)										
179	77212388		0	0:00:00	(-1)											
180	1700942158		0	0:00:00	(-17)							(-3)				
181	1700945272		0	0:00:00	(-2)	(-1)										
182	1700942048		0	0:00:00	(-9)											
